t,X,Y,Z,roll,pitch,yaw
-3.700000000,0.025310000,0.786000000,0.496000000,1.978149244,0.706204236,-0.549185321
-3.600000000,0.028680000,0.782000000,0.499000000,1.953663961,0.694250163,-0.587179498
-3.500000000,0.032050000,0.778000000,0.502000000,1.930027022,0.681600541,-0.624403482
-3.400000000,0.035420000,0.774000000,0.505000000,1.907250203,0.668287007,-0.660851673
-3.300000000,0.038790000,0.770000000,0.508000000,1.885339938,0.654341040,-0.696523949
-3.200000000,0.042160000,0.766000000,0.511000000,1.864297898,0.639793757,-0.731425088
-3.100000000,0.045530000,0.762000000,0.514000000,1.844121571,0.624675744,-0.765564201
-3.000000000,0.048900000,0.758000000,0.517000000,1.824804839,0.609016919,-0.798954168
-2.900000000,0.052270000,0.754000000,0.520000000,1.806338525,0.592846414,-0.831611099
-2.800000000,0.055640000,0.750000000,0.523000000,1.788710913,0.576192498,-0.863553833
-2.700000000,0.059010000,0.746000000,0.526000000,1.771908224,0.559082507,-0.894803466
-2.600000000,0.062380000,0.742000000,0.529000000,1.755915058,0.541542809,-0.925382932
-2.500000000,0.065750000,0.738000000,0.532000000,1.740714782,0.523598776,-0.955316618
-2.400000000,0.069120000,0.734000000,0.535000000,1.726289888,0.505274778,-0.984630029
-2.300000000,0.072490000,0.730000000,0.538000000,1.712622301,0.486594188,-1.013349492
-2.200000000,0.075860000,0.726000000,0.541000000,1.699693646,0.467579395,-1.041501904
-2.100000000,0.079230000,0.722000000,0.544000000,1.687485484,0.448251828,-1.069114515
-2.000000000,0.082600000,0.718000000,0.547000000,1.675979513,0.428631989,-1.096214744
-1.900000000,0.085790375,0.714050000,0.549962500,1.665280827,0.408794274,-1.122520409
-1.800000000,0.088621500,0.710200000,0.552850000,1.655467531,0.388823561,-1.147762074
-1.700000000,0.091093375,0.706450000,0.555662500,1.646482757,0.368752864,-1.171984595
-1.600000000,0.093206000,0.702800000,0.558400000,1.638272027,0.348612033,-1.195230434
-1.500000000,0.094959375,0.699250000,0.561062500,1.630783338,0.328428006,-1.217539574
-1.400000000,0.096353500,0.695800000,0.563650000,1.623967190,0.308225055,-1.238949494
-1.300000000,0.097388375,0.692450000,0.566162500,1.617776576,0.288025008,-1.259495173
-1.200000000,0.098064000,0.689200000,0.568600000,1.612166942,0.267847464,-1.279209137
-1.100000000,0.098380375,0.686050000,0.570962500,1.607096128,0.247709984,-1.298121520
-1.000000000,0.098337500,0.683000000,0.573250000,1.602524288,0.227628275,-1.316260144
-0.900000000,0.097935375,0.680050000,0.575462500,1.598413805,0.207616356,-1.333650609
-0.800000000,0.097174000,0.677200000,0.577600000,1.594729198,0.187686711,-1.350316392
-0.700000000,0.096053375,0.674450000,0.579662500,1.591437026,0.167850429,-1.366278951
-0.600000000,0.094573500,0.671800000,0.581650000,1.588505790,0.148117333,-1.381557827
-0.500000000,0.092734375,0.669250000,0.583562500,1.585905837,0.128496102,-1.396170750
-0.400000000,0.090536000,0.666800000,0.585400000,1.583609271,0.108994377,-1.410133740
-0.300000000,0.087978375,0.664450000,0.587162500,1.581589857,0.089618859,-1.423461211
-0.200000000,0.085061500,0.662200000,0.588850000,1.579822942,0.070375405,-1.436166068
-0.100000000,0.081785375,0.660050000,0.590462500,1.578285370,0.051269110,-1.448259802
-0.000000000,0.078150000,0.658000000,0.592000000,1.576955409,0.032304383,-1.459752582
0.100000000,0.074155375,0.656050000,0.593462500,1.575812679,0.013485018,-1.470653347
0.200000000,0.069801500,0.654200000,0.594850000,1.574838090,-0.005185736,-1.480969887
0.300000000,0.065088375,0.652450000,0.596162500,1.574013779,-0.023705125,-1.490708930
0.400000000,0.060016000,0.650800000,0.597400000,1.573323057,-0.042070823,-1.499876219
0.500000000,0.054584375,0.649250000,0.598562500,1.572750361,-0.060280891,-1.508476589
0.600000000,0.048793500,0.647800000,0.599650000,1.572281207,-0.078333725,-1.516514045
0.700000000,0.042643375,0.646450000,0.600662500,1.571902155,-0.096228015,-1.523991833
0.800000000,0.036134000,0.645200000,0.601600000,1.571600770,-0.113962706,-1.530912507
0.900000000,0.029265375,0.644050000,0.602462500,1.571365595,-0.131536959,-1.537278008
1.000000000,0.022037500,0.643000000,0.603250000,1.571186125,-0.148950125,-1.543089722
1.100000000,0.014450375,0.642050000,0.603962500,1.571052787,-0.166201705,-1.548348556
1.200000000,0.006504000,0.641200000,0.604600000,1.570956922,-0.183291331,-1.553055002
1.300000000,-0.001801625,0.640450000,0.605162500,1.570890777,-0.200218740,-1.557209202
1.400000000,-0.010466500,0.639800000,0.605650000,1.570847491,-0.216983749,-1.560811021
1.500000000,-0.019490625,0.639250000,0.606062500,1.570821095,-0.233586239,-1.563860111
1.600000000,-0.028874000,0.638800000,0.606400000,1.570806513,-0.250026137,-1.566355979
1.700000000,-0.038616625,0.638450000,0.606662500,1.570799564,-0.266303402,-1.568298060
1.800000000,-0.048718500,0.638200000,0.606850000,1.570796969,-0.282418016,-1.569685785
1.900000000,-0.059179625,0.638050000,0.606962500,1.570796367,-0.298369971,-1.570518658
2.000000000,-0.070000000,0.638000000,0.607000000,1.570796327,-0.314159265,-1.570796327
2.100000000,-0.081000000,0.638000000,0.607000000,1.570796327,-0.329867229,-1.570796327
2.200000000,-0.092000000,0.638000000,0.607000000,1.570796327,-0.345575192,-1.570796327
2.300000000,-0.103000000,0.638000000,0.607000000,1.570796327,-0.361283155,-1.570796327
2.400000000,-0.114000000,0.638000000,0.607000000,1.570796327,-0.376991118,-1.570796327
2.500000000,-0.125000000,0.638000000,0.607000000,1.570796327,-0.392699082,-1.570796327
2.600000000,-0.136000000,0.638000000,0.607000000,1.570796327,-0.408407045,-1.570796327
2.700000000,-0.147000000,0.638000000,0.607000000,1.570796327,-0.424115008,-1.570796327
2.800000000,-0.158000000,0.638000000,0.607000000,1.570796327,-0.439822972,-1.570796327
2.900000000,-0.169000000,0.638000000,0.607000000,1.570796327,-0.455530935,-1.570796327
3.000000000,-0.180000000,0.638000000,0.607000000,1.570796327,-0.471238898,-1.570796327
3.100000000,-0.191000000,0.638000000,0.607000000,1.570796327,-0.486946861,-1.570796327
3.200000000,-0.202000000,0.638000000,0.607000000,1.570796327,-0.502654825,-1.570796327
3.300000000,-0.213000000,0.638000000,0.607000000,1.570796327,-0.518362788,-1.570796327
3.400000000,-0.224000000,0.638000000,0.607000000,1.570796327,-0.534070751,-1.570796327
3.500000000,-0.235000000,0.638000000,0.607000000,1.570796327,-0.549778714,-1.570796327
3.600000000,-0.246000000,0.638000000,0.607000000,1.570796327,-0.565486678,-1.570796327
3.700000000,-0.257000000,0.638000000,0.607000000,1.570796327,-0.581194641,-1.570796327
3.800000000,-0.268000000,0.638000000,0.607000000,1.570796327,-0.596902604,-1.570796327
3.900000000,-0.279000000,0.638000000,0.607000000,1.570796327,-0.612610567,-1.570796327
4.000000000,-0.290000000,0.638000000,0.607000000,1.570796327,-0.628318531,-1.570796327
4.100000000,-0.301000000,0.638000000,0.607000000,1.570796327,-0.644026494,-1.570796327
4.200000000,-0.312000000,0.638000000,0.607000000,1.570796327,-0.659734457,-1.570796327
4.300000000,-0.323000000,0.638000000,0.607000000,1.570796327,-0.675442421,-1.570796327
4.400000000,-0.334000000,0.638000000,0.607000000,1.570796327,-0.691150384,-1.570796327
4.500000000,-0.345000000,0.638000000,0.607000000,1.570796327,-0.706858347,-1.570796327
4.600000000,-0.356000000,0.638000000,0.607000000,1.570796327,-0.722566310,-1.570796327
4.700000000,-0.367000000,0.638000000,0.607000000,1.570796327,-0.738274274,-1.570796327
4.800000000,-0.378000000,0.638000000,0.607000000,1.570796327,-0.753982237,-1.570796327
4.900000000,-0.389000000,0.638000000,0.607000000,1.570796327,-0.769690200,-1.570796327
5.000000000,-0.400000000,0.638000000,0.607000000,1.570796327,-0.785398163,-1.570796327
5.100000000,-0.411000000,0.638000000,0.607000000,1.570796327,-0.801106127,-1.570796327
5.200000000,-0.422000000,0.638000000,0.607000000,1.570796327,-0.816814090,-1.570796327
5.300000000,-0.433000000,0.638000000,0.607000000,1.570796327,-0.832522053,-1.570796327
5.400000000,-0.444000000,0.638000000,0.607000000,1.570796327,-0.848230016,-1.570796327
5.500000000,-0.455000000,0.638000000,0.607000000,1.570796327,-0.863937980,-1.570796327
5.600000000,-0.466000000,0.638000000,0.607000000,1.570796327,-0.879645943,-1.570796327
5.700000000,-0.477000000,0.638000000,0.607000000,1.570796327,-0.895353906,-1.570796327
5.800000000,-0.488000000,0.638000000,0.607000000,1.570796327,-0.911061870,-1.570796327
5.900000000,-0.499000000,0.638000000,0.607000000,1.570796327,-0.926769833,-1.570796327
6.000000000,-0.510000000,0.638000000,0.607000000,1.570796327,-0.942477796,-1.570796327
6.100000000,-0.521000000,0.638000000,0.607000000,1.570796327,-0.958185759,-1.570796327
6.200000000,-0.532000000,0.638000000,0.607000000,1.570796327,-0.973893723,-1.570796327
6.300000000,-0.543000000,0.638000000,0.607000000,1.570796327,-0.989601686,-1.570796327
6.400000000,-0.554000000,0.638000000,0.607000000,1.570796327,-1.005309649,-1.570796327
6.500000000,-0.565000000,0.638000000,0.607000000,1.570796327,-1.021017612,-1.570796327
6.600000000,-0.576000000,0.638000000,0.607000000,1.570796327,-1.036725576,-1.570796327
6.700000000,-0.587000000,0.638000000,0.607000000,1.570796327,-1.052433539,-1.570796327
6.800000000,-0.598000000,0.638000000,0.607000000,1.570796327,-1.068141502,-1.570796327
6.900000000,-0.609000000,0.638000000,0.607000000,1.570796327,-1.083849465,-1.570796327
7.000000000,-0.620000000,0.638000000,0.607000000,1.570796327,-1.099557429,-1.570796327
7.100000000,-0.631000000,0.638000000,0.607000000,1.570796327,-1.115265392,-1.570796327
7.200000000,-0.642000000,0.638000000,0.607000000,1.570796327,-1.130973355,-1.570796327
7.300000000,-0.653000000,0.638000000,0.607000000,1.570796327,-1.146681319,-1.570796327
7.400000000,-0.664000000,0.638000000,0.607000000,1.570796327,-1.162389282,-1.570796327
7.500000000,-0.675000000,0.638000000,0.607000000,1.570796327,-1.178097245,-1.570796327
7.600000000,-0.686000000,0.638000000,0.607000000,1.570796327,-1.193805208,-1.570796327
7.700000000,-0.697000000,0.638000000,0.607000000,1.570796327,-1.209513172,-1.570796327
7.800000000,-0.708000000,0.638000000,0.607000000,1.570796327,-1.225221135,-1.570796327
7.900000000,-0.719000000,0.638000000,0.607000000,1.570796327,-1.240929098,-1.570796327
8.000000000,-0.730000000,0.638000000,0.607000000,1.570796327,-1.256637061,-1.570796327
8.100000000,-0.741000000,0.638000000,0.607000000,1.570796327,-1.272345025,-1.570796327
8.200000000,-0.752000000,0.638000000,0.607000000,1.570796327,-1.288052988,-1.570796327
8.300000000,-0.763000000,0.638000000,0.607000000,1.570796327,-1.303760951,-1.570796327
8.400000000,-0.774000000,0.638000000,0.607000000,1.570796327,-1.319468915,-1.570796327
8.500000000,-0.785000000,0.638000000,0.607000000,1.570796327,-1.335176878,-1.570796327
8.600000000,-0.796000000,0.638000000,0.607000000,1.570796327,-1.350884841,-1.570796327
8.700000000,-0.807000000,0.638000000,0.607000000,1.570796327,-1.366592804,-1.570796327
8.800000000,-0.818000000,0.638000000,0.607000000,1.570796327,-1.382300768,-1.570796327
8.900000000,-0.829000000,0.638000000,0.607000000,1.570796327,-1.398008731,-1.570796327
9.000000000,-0.840000000,0.638000000,0.607000000,1.570796327,-1.413716694,-1.570796327
9.100000000,-0.851000000,0.638000000,0.607000000,1.570796327,-1.429424657,-1.570796327
9.200000000,-0.862000000,0.638000000,0.607000000,1.570796327,-1.445132621,-1.570796327
9.300000000,-0.873000000,0.638000000,0.607000000,1.570796327,-1.460840584,-1.570796327
9.400000000,-0.884000000,0.638000000,0.607000000,1.570796327,-1.476548547,-1.570796327
9.500000000,-0.895000000,0.638000000,0.607000000,1.570796327,-1.492256510,-1.570796327
9.600000000,-0.906000000,0.638000000,0.607000000,1.570796327,-1.507964474,-1.570796327
9.700000000,-0.917000000,0.638000000,0.607000000,1.570796327,-1.523672437,-1.570796327
9.800000000,-0.928000000,0.638000000,0.607000000,1.570796327,-1.539380400,-1.570796327
9.900000000,-0.939000000,0.638000000,0.607000000,1.570796327,-1.555088364,-1.570796327
10.000000000,-0.950000000,0.638000000,0.607000000,1.570796327,-1.570796327,0.000000000
